book_a;book_b;count
0439136350;0439064864;53
0439064864;0439136350;53
0439139597;0439136350;49
0439136350;0439139597;49
0439064864;0590353403;47
0590353403;0439064864;47
0439064864;0439139597;45
0439139597;0439064864;45
0439136350;0590353403;41
0590353403;0439136350;41
0439139597;043935806X;39
0439136350;043935806X;39
0439064864;043935806X;39
043935806X;0439136350;39
043935806X;0439139597;39
043935806X;0439064864;39
0385504209;0316666343;36
0316666343;0385504209;36
0345313860;0345337662;35
0345337662;0345313860;35
0439064872;059035342X;35
059035342X;0439064872;35
0671001795;0312966970;32
0312966091;0312971346;32
0312971346;0312966091;32
0439139597;0590353403;32
0312966970;0671001795;32
0316666343;0446672211;32
0590353403;0439139597;32
0446672211;0316666343;32
0385504209;0671027360;31
0671027360;0385504209;31
0345313860;034538475X;30
0312966091;0671001795;30
0345313860;0345351525;30
034538475X;0345313860;30
0345351525;0345313860;30
0312966970;0312971346;30
0671001795;0312966091;30
0312971346;0312966970;30
0312966970;0312966091;29
0312966091;0312966970;29
0312976275;0312971346;28
0312971346;0312976275;28
0590353403;043935806X;28
0440214041;044021145X;28
043935806X;0590353403;28
044021145X;0440214041;28
0345337662;034538475X;27
0316666343;0743418174;27
0743418174;0316666343;27
034538475X;0345337662;27
0439064872;0439136369;26
043935806X;059035342X;26
059035342X;043935806X;26
0439136369;0439064872;26
034538475X;0345351525;25
0345337662;0345351525;25
0440211727;0440214041;25
0345351525;0345337662;25
0440214041;0440211727;25
0345351525;034538475X;25
0440220602;044021145X;24
0842329250;0842329218;24
0312971346;0671001795;24
0312966091;0312976275;24
0671001795;0312971346;24
0312976275;0312966091;24
044021145X;0440220602;24
0312966970;0312976275;24
0312976275;0312966970;24
0842329218;0842329250;24
0316666343;0316601950;23
0316666343;0316096199;23
0312966970;0312980140;23
0316096199;0316666343;23
059035342X;0439136369;23
051513287X;0515131229;23
0671001795;0312990456;23
0842329129;0842329218;23
0316666343;0312195516;23
043935806X;0439139600;23
0439136369;059035342X;23
0316601950;0316666343;23
0842329218;0842329129;23
0515131229;051513287X;23
0439139600;043935806X;23
0312990456;0671001795;23
0312980140;0312966970;23
0312195516;0316666343;23
0385504209;0142001740;22
0515131229;0515132020;22
0440213525;0440214041;22
0312966091;0312980140;22
0312980140;0312966091;22
0142001740;0385504209;22
0515132020;0515131229;22
0440214041;0440213525;22
0312980140;0312971346;21
0553284789;0553279556;21
044021145X;0440211727;21
0316666343;067976402X;21
0312971346;0312980140;21
0451190548;0451190491;21
0553280368;0553280341;21
0142001740;0316666343;21
0312980140;0671001795;21
0312195516;0452282152;21
0345339703;0345339738;21
0064407667;0064407675;21
0060928336;0316666343;21
044022165X;044021145X;21
0452282152;0312195516;21
0553279912;0553280341;21
067976402X;0316666343;21
044021145X;044022165X;21
0553279556;0553284789;21
0451190564;0451190491;21
0842329218;0842329242;21
0316666343;0671003755;21
0440211727;044021145X;21
0451190491;0451190548;21
0553280341;0553280368;21
0312195516;0385504209;21
0385504209;0312195516;21
0553271636;0553280341;21
0316666343;0060928336;21
0316666343;0142001740;21
0440211727;0440213525;21
0842329242;0842329218;21
0515136379;0515136530;21
0064407675;0064407667;21
0553280341;0553279912;21
0515136530;0515136379;21
0451190491;0451190564;21
0671003755;0316666343;21
0440213525;0440211727;21
0553280341;0553271636;21
0671001795;0312980140;21
0345339738;0345339703;21
0439139597;059035342X;20
0439064872;0439139600;20
0061009059;0671001795;20
0515132020;051513287X;20
0385335482;0385335881;20
044021145X;0440213525;20
0439139600;0439064872;20
059035342X;0439139597;20
0451190521;0451190556;20
0451190556;0451190521;20
0842329250;0842329242;20
0671001795;0061009059;20
0440213525;044021145X;20
0671021001;0316666343;20
051513287X;0515132020;20
0553280341;0553284789;20
0842329242;0842329250;20
0553284789;0553280341;20
0385335881;0385335482;20
0451190521;0451190491;19
0449219364;0449219461;19
0451190548;0451190564;19
0060928336;0060976845;19
0312195516;0060928336;19
0316769487;0446310786;19
1400034779;1400031354;19
0060928336;0312195516;19
0451190491;0451190521;19
0060976845;0060928336;19
0451190548;0451190556;19
0446310786;0316769487;19
0451190564;0451190548;19
0449219461;0449219364;19
1400031354;1400034779;19
0451190556;0451190548;19
0553279556;0553280341;19
0553280341;0553279556;19
0449221512;0553284789;18
0451190548;0451190521;18
0425154092;0380718332;18
0449219364;0553280341;18
0515126772;0515128554;18
0786868716;0385484518;18
0451190521;0451190564;18
0451190521;0451190548;18
0345339738;0345339711;18
0671001795;0312976275;18
059035342X;0439139600;18
0449219364;0553284789;18
0345339738;0345339681;18
0842329129;0842329242;18
0061009059;0312966091;18
0312278586;0316666343;18
0345339711;0345339738;18
0439136369;043935806X;18
0553284789;0449219364;18
0380718332;0425154092;18
0451190491;0451190556;18
0312966091;0061009059;18
0515128554;0515126772;18
0451190556;0451190491;18
0553280341;0449219364;18
0515128554;0515128546;18
043935806X;0439136369;18
0312976275;0671001795;18
0345339681;0345339738;18
0515128546;0515128554;18
051513628X;0515136530;18
0425147622;0425154092;18
0312980140;0312976275;18
0425154092;0425147622;18
0842329242;0842329129;18
0553284789;0449221512;18
051513628X;0515136379;18
0312976275;0312980140;18
0385484518;0786868716;18
0515136530;051513628X;18
0451190564;0451190521;18
0515136379;051513628X;18
0439139600;059035342X;18
0375726403;0316666343;17
0451190521;0451190572;17
0553280368;0553279912;17
0312195516;0316601950;17
0439136350;059035342X;17
0440212561;0440215625;17
0312990456;0312966970;17
0064407667;0064407683;17
0316284955;0316666343;17
0877017883;0811801802;17
0345339703;0345339711;17
0375726403;0312195516;17
0449219461;0553279556;17
0312924585;0440206154;17
0451190556;0451190564;17
0451190572;0451190521;17
0312195516;0060930535;17
0449221482;0449221512;17
0451190564;0451190556;17
0440206154;0312924585;17
0553271636;0553279556;17
0449221512;0553279556;17
0449219364;0449221512;17
0811801802;0877017883;17
0440213525;0440220602;17
0439136369;0439139600;17
0449221512;0449221482;17
0316601950;0446672211;17
0440215625;0440212561;17
0440220602;0440213525;17
0553279556;0449221512;17
0316601950;0312195516;17
0060930535;0312195516;17
0553279556;0553271636;17
0345339711;0345339703;17
0312966970;0312990456;17
0312195516;0375726403;17
0446672211;0316601950;17
0553279912;0553280368;17
0553279556;0449219461;17
